"Y"  "X1" "X2" "X3" "X4" "X5"
12 0.853 13805.2 22 15 10
7 0.18 11045.8 0 15 0
7 0.18 16680 4 15 0
0 0.117 16280 0 15 0
9 1.509 10049.8 22 14 8
9 1.307 11145.8 22 14 8
8 1.098 11414.2 22 14 8
8 1.232 7690 22 14 11
9 1.086 9686.3 22 14 8
7 0.788 10358.6 22 14 8
7 0.616 9923.6 22 14 8
6 0.328 18700 60 14 11
5 0.281 11724.4 22 14 8
3 0.204 11666.7 22 14 8
0 0.191 1372 4 14 4
7 0.176 16680 4 14 0
0 0.156 17640 4 14 0
2 0.135 17640 4 14 0
6 0.111 17640 4 14 0
10 2.093 3310.2 0 13 8
9 0.89 16971.6 99 13 10
11 0.874 16435.4 99 13 10
4 0.681 2825.9 0 13 8
7 0.501 16675.6 99 13 10
9 0.5 16782 99 13 10
5 0.5 16248.7 99 13 10
7 0.5 16142.3 99 13 10
6 0.499 16568.7 99 13 10
2 0.344 3961.2 0 13 11
7 0.39 17102.2 99 13 10
5 0.341 15964.9 99 13 10
5 0.332 16035.7 99 13 10
7 0.327 15892.2 99 13 10
10 0.27 32050 11 13 0
4 0.215 5260 0 13 3
12 0.175 68320.5 6 13 0
4 0.221 17019.1 90 13 10
2 0.173 2822.2 0 13 8
4 0.156 2839.7 0 13 8
0 0.152 3963 0 13 11
7 0.144 30800 11 13 0
0 0.142 3957 0 13 11
7 0.135 15788 99 13 10
0 0.12 3958 0 13 11
3 0.163 15822.4 99 13 10
0 0.114 2842.6 4 13 8
0 0.113 3963.8 0 13 11
16 4.365 36400 46 12 8
9 3.867 8240 4 12 6
16 3.529 25429.9 46 12 10
15 3.632 23050.9 46 12 8
10 3.65 7970 69 12 11
13 3.327 11496.6 6 12 4
14 3.467 22930 46 12 8
8 3.021 7814.4 22 12 8
12 2.917 14324.6 46 12 8
8 3.17 2430 4 12 4
9 2.949 8946.2 22 12 8
13 2.779 24322.6 46 12 10
12 3.52 12790 36 12 8
11 3.008 17080 48 12 8
9 2.911 5543 22 12 13
11 2.651 3727.6 6 12 8
14 2.937 25167.3 12 12 8
9 2.575 6970 98 12 4
13 2.558 23220 46 12 8
16 2.389 49250 99 12 8
8 2.461 3492 4 12 5
14 2.721 33338.8 55 12 8
14 2.3 35700 52 12 8
6 2.438 8390 60 12 10
7 2.332 8690 60 12 10
10 2.455 17080 48 12 8
10 2.379 8240 4 12 6
9 2.205 5513.1 99 12 10
11 2.3 14320 36 12 8
13 2.15 25967.6 46 12 10
16 2.138 60844.8 40 12 13
15 2.034 24973.8 8 12 8
6 2.037 5522.7 99 12 10
8 2.07 5520 98 12 10
12 2.133 17541.7 52 12 8
13 2.023 30150 46 12 8
10 2.112 6231.3 4 12 4
12 1.898 28209.8 40 12 8
8 1.884 5498 99 12 10
8 2.012 17793.5 70 12 10
11 2.009 16200 24 12 8
15 1.807 21997.6 4 12 4
9 1.682 22874.3 46 12 8
10 1.712 14180 15 12 8
9 1.639 3682.8 6 12 8
12 1.658 32118.4 48 12 8
8 1.604 3558.2 4 12 5
7 1.649 5593 99 12 13
